,State,Adopted Over Waiting for Adoption 2010,Parental Rights Terminated Over Waiting For Adoption 2010,Adopted Over Waiting for Adoption 2011,Parental Rights Terminated Over Waiting For Adoption 2011,Adopted Over Waiting for Adoption 2012,Parental Rights Terminated Over Waiting For Adoption 2012,Adopted Over Waiting for Adoption 2013,Parental Rights Terminated Over Waiting For Adoption 2013,Adopted Over Waiting for Adoption 2014,Parental Rights Terminated Over Waiting For Adoption 2014,Adopted Over Waiting for Adoption 2015,Parental Rights Terminated Over Waiting For Adoption 2015,Adopted Over Waiting for Adoption 2016,Parental Rights Terminated Over Waiting For Adoption 2016,Adopted Over Waiting for Adoption 2017,Parental Rights Terminated Over Waiting For Adoption 2017,Adopted Over Waiting for Adoption 2018,Parental Rights Terminated Over Waiting For Adoption 2018,Adopted Over Waiting for Adoption 2019,Parental Rights Terminated Over Waiting For Adoption 2019
0,Alabama,0.4767899291896145,0.5955940204563336,0.3446414803392444,0.5404780262143408,0.5077854671280276,0.46972318339100344,0.4907749077490775,0.5673431734317343,0.5210727969348659,0.5488505747126436,0.5019607843137255,0.4519607843137255,0.467906976744186,0.3916279069767442,0.39747634069400634,0.42034700315457413,0.5289747399702823,0.3818722139673105,0.4372037914691943,0.30983412322274884
1,Alaska,0.4827586206896552,0.5474137931034483,0.40694444444444444,0.5402777777777777,0.3838509316770186,0.48074534161490684,0.3787528868360277,0.4607390300230947,0.5213068181818182,0.5198863636363636,0.4559386973180077,0.454661558109834,0.3287671232876712,0.44783983140147526,0.3546511627906977,0.4186046511627907,0.3508946322067594,0.4274353876739563,0.416403785488959,0.3943217665615142
2,Arizona,0.7650579872802095,0.8133183688739244,0.8061658398299079,0.7866761162296244,0.7807137954701441,0.7889498970487303,0.7046661078513551,0.7521654093322157,0.8486679483658336,0.7802801428179071,0.7970443349753694,0.7403940886699507,0.7753023551877785,0.7169531084235095,0.9050326384502,0.6938302800589597,0.931214421252372,0.7035104364326376,0.8702270381836945,0.6932404540763674
3,Arkansas,0.3721945137157107,0.5062344139650873,0.41796322489391796,0.5247524752475248,0.6871945259042033,0.530791788856305,0.6951710261569416,0.6458752515090543,0.718568665377176,0.7321083172147002,0.6595365418894831,0.6746880570409982,0.6327212020033389,0.6636060100166945,0.7300751879699248,0.5977443609022557,0.7409326424870466,0.5988156920799408,0.8324873096446701,0.6658206429780034
4,California,0.43372280419016923,0.4854955680902498,0.3902939166097061,0.4735475051264525,0.4520401948842874,0.45835870889159563,0.3536733260994447,0.418842152294632,0.38812429057888764,0.45253972758229283,0.42870239774330043,0.4666431593794076,0.44536728163932193,0.45694056777180203,0.4321388355302378,0.47075577929389945,0.4685860352482174,0.47746535719090544,0.4835827098919368,0.5030479357162649
5,Colorado,0.7889245585874799,0.6195826645264848,0.8506375227686703,0.5072859744990893,0.9869138495092693,0.5539803707742639,0.8727678571428571,0.5245535714285714,0.7628968253968254,0.49503968253968256,0.8855291576673866,0.5734341252699784,0.8082851637764933,0.5472061657032755,0.9947534102833159,0.5393494228751312,0.9127382146439318,0.5005015045135406,0.9126117179741807,0.5124131082423039
6,Connecticut,0.5448057097541633,0.48691514670896113,0.45461309523809523,0.42931547619047616,0.35379061371841153,0.5285198555956678,0.4262435677530017,0.5214408233276158,0.37676842889054357,0.3015636634400596,0.47869674185463656,0.31746031746031744,0.47614761476147616,0.342034203420342,0.42178046672428693,0.31374243733794294,0.40242914979757083,0.308502024291498,0.5428816466552315,0.3018867924528302
7,Delaware,0.2648221343873518,0.5889328063241107,0.38934426229508196,0.5942622950819673,0.37448559670781895,0.6090534979423868,0.5137614678899083,0.518348623853211,0.4158415841584158,0.5841584158415841,0.3542600896860987,0.5381165919282511,0.38976377952755903,0.452755905511811,0.38434163701067614,0.4626334519572954,0.4603174603174603,0.4801587301587302,0.7914110429447853,0.5828220858895705
8,District of Columbia,0.30861244019138756,0.05263157894736842,0.29526462395543174,0.27298050139275765,0.36421725239616615,0.2523961661341853,0.39855072463768115,0.2210144927536232,0.4262948207171315,0.199203187250996,0.45493562231759654,0.14163090128755365,0.5069124423963134,0.03225806451612903,0.4789473684210526,0.031578947368421054,0.5524861878453039,0.055248618784530384,0.48514851485148514,0.024752475247524754
9,Florida,0.6752289924332935,0.5479888490641179,0.5897076491790149,0.5893071686023228,0.6422304542795867,0.6194189900565412,0.9861471861471861,0.9215007215007215,0.5878013673983448,0.65545160129543,0.5771236333052986,0.6400336417157275,0.5200873362445415,0.6215429403202329,0.4802557352388116,0.6041118214867744,0.48720472440944884,0.6263123359580053,0.5078099752235269,0.6301842076914791
