state,fp_perc_need_met16,fp_num_served16,fp_num_u20_served16,fp_num_centers15,fp_total_expend15,STATEFP20,abortion_status,childcare_score,paid_leave_score,ad_num_waiting16,ad_num_adopted16,ad_num_served16,ad_prop_adopted16,parental_leave_score,prop_uninsured16
Alabama,28,97600,20300,187,69742000,1,significantly restricted,1.42,0.0,1075,503,8381,0.4679069767441861,10,0.8758750586715557
Alaska,54,21640,4750,157,10158000,2,neither,1.37,0.0,949,312,3868,0.3287671232876712,20,0.8397385915492958
Arizona,19,88140,16500,232,57560000,4,significantly restricted,0.97,0.0,4713,3654,29090,0.7753023551877785,20,0.8817154193350819
Arkansas,23,50960,10610,163,11397000,5,significantly restricted,1.54,0.0,1198,758,8285,0.6327212020033389,10,0.8992607701062643
California,64,1618010,252840,1697,454706000,6,protected,0.95,2.0,14689,6542,85896,0.4453672816393219,135,0.9117393148805834
Colorado,35,115490,23720,221,29252000,8,neither,1.11,0.0,1038,839,10630,0.8082851637764933,20,0.9141417566241987
Connecticut,38,68130,14160,92,21462000,9,protected,1.07,0.67,1111,529,5602,0.4761476147614762,85,0.9412374932221479
Delaware,30,16080,4510,41,4646000,10,protected,1.21,0.0,254,99,1163,0.38976377952755903,10,0.9340452563266147
Florida,16,214450,40050,430,42764000,12,neither,1.34,0.0,6870,3573,39243,0.5200873362445415,20,0.8354173261281989
Georgia,26,194910,42860,383,35665000,13,neither,1.57,0.0,2998,1121,19312,0.3739159439626418,10,0.8341818883469613
Hawaii,21,13830,2560,44,1918000,15,protected,0.53,0.67,177,129,2511,0.7288135593220338,100,0.9561870339803062
Idaho,18,20880,4340,104,12886000,16,significantly restricted,0.57,0.0,390,185,2594,0.4743589743589744,10,0.8603192185897884
Illinois,24,190230,39180,340,58133000,17,protected,1.32,0.0,2966,1546,19998,0.5212407282535402,35,0.9225290842105184
Indiana,17,76100,15470,138,41063000,18,neither,0.56,0.0,3773,1536,29315,0.40710310098065206,20,0.9047118846785543
Iowa,27,52150,11300,88,18472000,19,neither,1.49,0.0,1111,992,8930,0.8928892889288929,30,0.950262732550832
Kansas,18,34380,6420,128,25112000,20,significantly restricted,1.14,0.0,2392,870,10930,0.3637123745819398,10,0.8886873410904466
Kentucky,23,69620,15310,211,82039000,21,significantly restricted,1.5,0.0,2606,1104,13027,0.4236377590176516,20,0.9424944054834087
Louisiana,21,71050,13610,195,34361000,22,significantly restricted,1.43,0.0,1297,727,8145,0.5605242868157286,60,0.8685015396445482
Maine,34,25520,5610,106,6066000,23,protected,1.28,0.0,647,399,2758,0.616692426584235,75,0.900264441933781
Maryland,32,97980,18600,140,58363000,24,protected,1.4,0.0,468,361,6017,0.7713675213675214,10,0.9312731469970084
Massachusetts,25,90830,20020,229,25984000,25,neither,1.04,0.67,3481,669,16679,0.1921861534041942,65,0.9724853494148189
Michigan,16,105650,23910,271,42383000,26,significantly restricted,1.23,0.0,3416,2078,18194,0.6083138173302107,20,0.9380914272368427
Minnesota,25,76550,16520,128,23991000,27,neither,1.18,0.0,1541,899,14581,0.5833874107722258,70,0.9554316960465927
Mississippi,23,52870,13620,210,23234000,28,significantly restricted,0.77,0.0,1553,400,8396,0.25756600128782997,10,0.8392466651185876
Missouri,21,84920,19960,218,48244000,29,significantly restricted,1.11,0.0,2584,1591,19332,0.6157120743034056,10,0.8839876231995378
Montana,36,24050,5630,85,8138000,30,neither,0.6,0.0,633,260,4924,0.4107424960505529,35,0.8972115803007947
Nebraska,24,29960,4830,56,8026000,31,neither,1.14,0.0,715,483,6186,0.6755244755244755,10,0.8954484921967182
Nevada,14,26430,4740,59,17674000,32,protected,1.06,0.0,1619,796,7822,0.4916615194564546,10,0.8630115623677234
New Hampshire,29,18950,3600,39,2058000,33,neither,0.51,0.0,168,87,1810,0.5178571428571429,40,0.9247071878597033
New Jersey,27,117930,18740,121,14402000,34,neither,1.42,1.67,2567,1185,11019,0.4616283599532528,85,0.9048701115830311
New Mexico,35,52620,11350,234,6108000,35,significantly restricted,1.37,0.0,1263,306,4325,0.24228028503562946,25,0.8850319157728251
New York,37,433960,83050,557,113086000,36,protected,1.38,1.0,4832,1949,27314,0.40335264900662254,40,0.930962971598705
North Carolina,16,116640,19440,270,92753000,37,neither,1.45,0.0,2943,1501,15687,0.5100237852531431,10,0.8659926986622499
North Dakota,23,10790,2310,42,1726000,38,significantly restricted,0.63,0.0,355,132,2388,0.37183098591549296,20,0.9305338385975239
Ohio,20,153080,34740,302,52992000,39,significantly restricted,0.91,0.0,3201,1449,23646,0.4526710402999063,35,0.9367163952966131
Oklahoma,30,84710,21200,213,24830000,40,significantly restricted,1.78,0.0,4366,2487,16273,0.5696289509848832,10,0.8193702967975114
Oregon,40,107100,19480,209,27092000,41,protected,1.2,0.33,1666,768,10816,0.46098439375750294,95,0.9245679549802499
Pennsylvania,32,233560,50280,309,74949000,42,neither,1.07,0.33,3092,1917,25822,0.6199870633893921,10,0.9368789934014421
Rhode Island,41,27080,6350,39,762000,44,protected,1.31,1.33,296,279,2868,0.9425675675675677,70,0.9530439821875191
South Carolina,26,89700,16970,180,11553000,45,neither,1.33,0.0,1344,433,7413,0.3221726190476191,30,0.8707191780821918
South Dakota,21,11200,2560,89,2458000,46,neither,0.67,0.0,361,110,2377,0.3047091412742382,10,0.8914402530152071
Tennessee,22,104170,22780,262,57367000,47,neither,1.43,0.0,1301,1225,12480,0.9415833973866256,40,0.8881076206955377
Texas,21,414860,83800,453,157726000,48,neither,1.07,0.0,12377,5723,48963,0.4623899167811263,10,0.7847763281967697
Utah,55,38420,8730,83,6759000,49,neither,0.56,0.0,630,632,4997,1.0031746031746032,20,0.8962636751658649
Vermont,16,19750,3960,56,896000,50,protected,1.34,0.0,387,216,2072,0.5581395348837209,75,0.9552428113158687
Virginia,31,76520,12050,241,63923000,51,neither,1.1,0.0,1886,627,7782,0.3324496288441145,10,0.8943099976812047
Washington,66,135400,27210,257,34585000,53,protected,1.25,0.33,3278,1387,16252,0.4231238560097621,85,0.9303973571207957
West Virginia,24,77660,16770,202,4026000,54,significantly restricted,1.69,0.0,2147,940,9440,0.4378202142524453,10,0.939288094773396
Wisconsin,26,83110,19980,132,59224000,55,significantly restricted,1.33,0.0,1389,669,11621,0.4816414686825054,45,0.9401799897178407
Wyoming,29,8970,2340,34,2196000,56,neither,0.63,0.0,61,89,2011,1.459016393442623,10,0.8644239853069751
