State,Waiting for Adoption 2010,Waiting for Adoption 2011,Waiting for Adoption 2012,Waiting for Adoption 2013,Waiting for Adoption 2014,Waiting for Adoption 2015,Waiting for Adoption 2016,Waiting for Adoption 2017,Waiting for Adoption 2018,Waiting for Adoption 2019,Parental Rights Terminated 2010,Parental Rights Terminated 2011,Parental Rights Terminated 2012,Parental Rights Terminated 2013,Parental Rights Terminated 2014,Parental Rights Terminated 2015,Parental Rights Terminated 2016,Parental Rights Terminated 2017,Parental Rights Terminated 2018,Parental Rights Terminated 2019,Adopted 2010,Adopted 2011,Adopted 2012,Adopted 2013,Adopted 2014,Adopted 2015,Adopted 2016,Adopted 2017,Adopted 2018,Adopted 2019,Served 2010,Served 2011,Served 2012,Served 2013,Served 2014,Served 2015,Served 2016,Served 2017,Served 2018,Served 2019,STATEFP20,Adopted Over Waiting for Adoption 2010,Parental Rights Terminated Over Waiting For Adoption 2010,Adopted Over Waiting for Adoption 2011,Parental Rights Terminated Over Waiting For Adoption 2011,Adopted Over Waiting for Adoption 2012,Parental Rights Terminated Over Waiting For Adoption 2012,Adopted Over Waiting for Adoption 2013,Parental Rights Terminated Over Waiting For Adoption 2013,Adopted Over Waiting for Adoption 2014,Parental Rights Terminated Over Waiting For Adoption 2014,Adopted Over Waiting for Adoption 2015,Parental Rights Terminated Over Waiting For Adoption 2015,Adopted Over Waiting for Adoption 2016,Parental Rights Terminated Over Waiting For Adoption 2016,Adopted Over Waiting for Adoption 2017,Parental Rights Terminated Over Waiting For Adoption 2017,Adopted Over Waiting for Adoption 2018,Parental Rights Terminated Over Waiting For Adoption 2018,Adopted Over Waiting for Adoption 2019,Parental Rights Terminated Over Waiting For Adoption 2019,"Maternal Deaths Per 100,000 Births",Abortion Overview,Score,Grade
Alabama,1271,1297,1156,1084,1044,1020,1075,1268,1346,1688,757,701,543,615,573,461,421,533,514,523,606,447,587,532,544,512,503,504,712,738,8119,8395,7907,7322,7520,7989,8381,9012,9512,9741,1,0.4767899291896145,0.5955940204563336,0.3446414803392444,0.5404780262143408,0.5077854671280276,0.4697231833910034,0.4907749077490775,0.5673431734317343,0.5210727969348659,0.5488505747126436,0.5019607843137255,0.4519607843137255,0.4679069767441861,0.3916279069767442,0.3974763406940064,0.4203470031545741,0.5289747399702823,0.3818722139673105,0.4372037914691943,0.30983412322274884,36.4,significantly restricted,10.0,F
Alaska,696,720,805,866,704,783,949,1032,1006,951,381,389,387,399,366,356,425,432,430,375,336,293,309,328,367,357,312,366,353,396,2750,2669,2727,2842,3109,3659,3868,4085,4032,4216,2,0.4827586206896552,0.5474137931034483,0.4069444444444445,0.5402777777777777,0.3838509316770186,0.4807453416149069,0.3787528868360277,0.4607390300230947,0.5213068181818182,0.5198863636363636,0.4559386973180077,0.454661558109834,0.3287671232876712,0.4478398314014753,0.3546511627906977,0.4186046511627907,0.3508946322067594,0.4274353876739563,0.41640378548895896,0.3943217665615142,12.4,neither,20.0,D-
Arizona,2673,2822,2914,3579,3641,4060,4713,4749,4216,3876,2174,2220,2299,2692,2841,3006,3379,3295,2966,2687,2045,2275,2275,2522,3090,3236,3654,4298,3926,3373,17110,18142,21267,23854,26253,28557,29090,26897,23909,22689,4,0.7650579872802095,0.8133183688739244,0.8061658398299079,0.7866761162296244,0.7807137954701441,0.7889498970487303,0.7046661078513551,0.7521654093322157,0.8486679483658336,0.7802801428179071,0.7970443349753694,0.7403940886699507,0.7753023551877785,0.7169531084235095,0.9050326384502,0.6938302800589597,0.9312144212523721,0.7035104364326376,0.8702270381836945,0.6932404540763674,27.3,significantly restricted,20.0,D-
Arkansas,1604,1414,1023,994,1034,1122,1198,1330,1351,1182,812,742,543,642,757,757,795,795,809,787,597,591,703,691,743,740,758,971,1001,984,7474,7506,7513,7411,7211,7759,8285,8545,7811,7230,5,0.3721945137157107,0.5062344139650873,0.417963224893918,0.5247524752475248,0.6871945259042033,0.530791788856305,0.6951710261569416,0.6458752515090543,0.718568665377176,0.7321083172147002,0.6595365418894831,0.6746880570409982,0.6327212020033389,0.6636060100166945,0.7300751879699248,0.5977443609022557,0.7409326424870466,0.5988156920799408,0.8324873096446701,0.6658206429780034,37.5,significantly restricted,10.0,F
California,14892,14630,13136,15667,14096,14180,14689,15097,14866,14436,7230,6928,6021,6562,6379,6617,6712,7107,7098,7262,6459,5710,5938,5541,5471,6079,6542,6524,6966,6981,92254,86563,84820,86255,87087,87484,85896,80408,78215,77889,6,0.4337228041901692,0.4854955680902498,0.3902939166097061,0.4735475051264525,0.4520401948842874,0.4583587088915956,0.3536733260994447,0.41884215229463206,0.3881242905788877,0.4525397275822928,0.4287023977433004,0.4666431593794076,0.4453672816393219,0.456940567771802,0.4321388355302378,0.4707557792938994,0.4685860352482174,0.4774653571909054,0.4835827098919368,0.5030479357162649,4.0,protected,135.0,A-
Colorado,1246,1098,917,896,1008,926,1038,953,997,1007,772,557,508,470,499,531,568,514,499,516,983,934,905,782,769,820,839,948,910,919,12866,11990,11184,10542,10309,10449,10630,10577,10283,9742,8,0.7889245585874799,0.6195826645264848,0.8506375227686703,0.5072859744990893,0.9869138495092692,0.5539803707742639,0.8727678571428571,0.5245535714285714,0.7628968253968254,0.4950396825396826,0.8855291576673866,0.5734341252699784,0.8082851637764933,0.5472061657032755,0.994753410283316,0.5393494228751312,0.9127382146439318,0.5005015045135406,0.9126117179741808,0.5124131082423039,11.5,neither,20.0,D-
Connecticut,1261,1344,1385,1166,1343,1197,1111,1157,1235,1166,614,577,732,608,405,380,380,363,381,352,687,611,490,497,506,573,529,488,497,633,7127,7025,6068,5821,5407,5356,5602,5662,5785,5980,9,0.5448057097541633,0.4869151467089611,0.4546130952380952,0.42931547619047616,0.35379061371841153,0.5285198555956678,0.4262435677530017,0.5214408233276158,0.3767684288905436,0.3015636634400596,0.4786967418546366,0.31746031746031744,0.4761476147614762,0.34203420342034196,0.4217804667242869,0.3137424373379429,0.4024291497975708,0.308502024291498,0.5428816466552315,0.3018867924528302,10.5,protected,85.0,B
Delaware,253,244,243,218,202,223,254,281,252,163,149,145,148,113,118,120,115,130,121,95,67,95,91,112,84,79,99,108,116,129,1194,1266,1286,1160,980,1006,1163,1190,1089,930,10,0.2648221343873518,0.5889328063241107,0.389344262295082,0.5942622950819673,0.37448559670781895,0.6090534979423868,0.5137614678899083,0.518348623853211,0.4158415841584158,0.5841584158415841,0.3542600896860987,0.5381165919282511,0.38976377952755903,0.452755905511811,0.38434163701067614,0.4626334519572954,0.4603174603174603,0.4801587301587302,0.7914110429447853,0.5828220858895705,,,,
District of Columbia,418,359,313,276,251,233,217,190,181,202,22,98,79,61,50,33,7,6,10,5,129,106,114,110,107,106,110,91,100,98,2834,2212,1902,1602,1407,1294,1248,1131,1068,1061,11,0.3086124401913876,0.05263157894736842,0.2952646239554317,0.27298050139275765,0.36421725239616615,0.2523961661341853,0.3985507246376812,0.2210144927536232,0.4262948207171315,0.199203187250996,0.4549356223175965,0.14163090128755365,0.5069124423963134,0.03225806451612903,0.4789473684210526,0.03157894736842105,0.5524861878453039,0.055248618784530384,0.4851485148514851,0.024752475247524757,,,,
Florida,5022,4994,5129,3465,5558,5945,6870,7977,9144,9283,2752,2943,3177,3193,3643,3805,4270,4819,5727,5850,3391,2945,3294,3417,3267,3431,3573,3831,4455,4714,33322,34013,34868,33290,33245,36843,39243,39735,39909,39135,12,0.6752289924332935,0.5479888490641179,0.5897076491790149,0.5893071686023228,0.6422304542795867,0.6194189900565412,0.986147186147186,0.9215007215007216,0.5878013673983448,0.6554516012954301,0.5771236333052986,0.6400336417157275,0.5200873362445415,0.6215429403202329,0.4802557352388116,0.6041118214867744,0.4872047244094488,0.6263123359580053,0.5078099752235269,0.6301842076914791,22.3,neither,20.0,D-
