state,perc_need_met16,num_served16,num_u20_served16,num_centers15,total_expend15,STATEFP20
Alabama,28,97600,20300,187,69742000,01
Alaska,54,21640,4750,157,10158000,02
Arizona,19,88140,16500,232,57560000,04
Arkansas,23,50960,10610,163,11397000,05
California,64,1618010,252840,1697,454706000,06
Colorado,35,115490,23720,221,29252000,08
Connecticut,38,68130,14160,92,21462000,09
Delaware,30,16080,4510,41,4646000,10
District of Columbia,88,43600,7370,31,5518000,11
Florida,16,214450,40050,430,42764000,12
Georgia,26,194910,42860,383,35665000,13
Hawaii,21,13830,2560,44,1918000,15
Idaho,18,20880,4340,104,12886000,16
Illinois,24,190230,39180,340,58133000,17
Indiana,17,76100,15470,138,41063000,18
Iowa,27,52150,11300,88,18472000,19
Kansas,18,34380,6420,128,25112000,20
Kentucky,23,69620,15310,211,82039000,21
Louisiana,21,71050,13610,195,34361000,22
Maine,34,25520,5610,106,6066000,23
Maryland,32,97980,18600,140,58363000,24
Massachusetts,25,90830,20020,229,25984000,25
Michigan,16,105650,23910,271,42383000,26
Minnesota,25,76550,16520,128,23991000,27
Mississippi,23,52870,13620,210,23234000,28
Missouri,21,84920,19960,218,48244000,29
Montana,36,24050,5630,85,8138000,30
Nebraska,24,29960,4830,56,8026000,31
Nevada,14,26430,4740,59,17674000,32
New Hampshire,29,18950,3600,39,2058000,33
New Jersey,27,117930,18740,121,14402000,34
New Mexico,35,52620,11350,234,6108000,35
New York,37,433960,83050,557,113086000,36
North Carolina,16,116640,19440,270,92753000,37
North Dakota,23,10790,2310,42,1726000,38
Ohio,20,153080,34740,302,52992000,39
Oklahoma,30,84710,21200,213,24830000,40
Oregon,40,107100,19480,209,27092000,41
Pennsylvania,32,233560,50280,309,74949000,42
Rhode Island,41,27080,6350,39,762000,44
South Carolina,26,89700,16970,180,11553000,45
South Dakota,21,11200,2560,89,2458000,46
Tennessee,22,104170,22780,262,57367000,47
Texas,21,414860,83800,453,157726000,48
Utah,55,38420,8730,83,6759000,49
Vermont,16,19750,3960,56,896000,50
Virginia,31,76520,12050,241,63923000,51
Washington,66,135400,27210,257,34585000,53
West Virginia,24,77660,16770,202,4026000,54
Wisconsin,26,83110,19980,132,59224000,55
Wyoming,29,8970,2340,34,2196000,56
