,Location,GEOID20,"Mortality Rate, 1980*","Mortality Rate, 1980* (Min)","Mortality Rate, 1980* (Max)","Mortality Rate, 1985*","Mortality Rate, 1985* (Min)","Mortality Rate, 1985* (Max)","Mortality Rate, 1990*","Mortality Rate, 1990* (Min)","Mortality Rate, 1990* (Max)","Mortality Rate, 1995*","Mortality Rate, 1995* (Min)","Mortality Rate, 1995* (Max)","Mortality Rate, 2000*","Mortality Rate, 2000* (Min)","Mortality Rate, 2000* (Max)","Mortality Rate, 2005*","Mortality Rate, 2005* (Min)","Mortality Rate, 2005* (Max)","Mortality Rate, 2010*","Mortality Rate, 2010* (Min)","Mortality Rate, 2010* (Max)","Mortality Rate, 2014*","Mortality Rate, 2014* (Min)","Mortality Rate, 2014* (Max)","% Change in Mortality Rate, 1980-2014","% Change in Mortality Rate, 1980-2014 (Min)","% Change in Mortality Rate, 1980-2014 (Max)",improved
2016,Wake County,37183.0,13.03,12.16,14.12,9.86,9.26,10.51,7.76,7.28,8.3,6.07,5.73,6.41,5.57,5.23,5.91,5.21,4.87,5.53,4.31,3.94,4.57,3.72,3.38,3.96,-71.43,-75.22,-69.26,True
1943,Chatham County,37037.0,11.46,10.08,13.07,8.38,7.36,9.55,6.95,6.08,7.97,5.31,4.65,6.0,5.04,4.4,5.73,4.68,4.11,5.28,3.93,3.39,4.46,3.44,2.95,3.93,-70.01,-73.97,-66.82,True
1963,Granville County,37077.0,12.35,10.82,14.04,8.77,7.7,9.97,7.48,6.6,8.56,5.67,4.98,6.44,5.4,4.79,6.07,5.23,4.59,5.93,4.34,3.77,4.95,3.81,3.3,4.33,-69.14,-73.94,-65.64,True
1989,New Hanover County,37129.0,7.79,6.96,8.88,5.73,5.15,6.45,4.85,4.32,5.43,3.73,3.32,4.17,3.54,3.17,3.94,3.45,3.07,3.83,2.83,2.51,3.15,2.55,2.23,2.85,-67.26,-72.75,-63.34,True
1992,Orange County,37135.0,11.15,10.0,12.53,8.2,7.34,9.24,6.99,6.25,7.87,5.43,4.86,6.08,5.09,4.55,5.66,5.07,4.54,5.65,4.2,3.71,4.7,3.66,3.24,4.09,-67.2,-71.37,-64.04,True
1956,Durham County,37063.0,12.77,11.69,13.98,9.5,8.75,10.35,7.94,7.32,8.65,6.72,6.17,7.29,6.14,5.65,6.65,5.8,5.33,6.27,4.93,4.46,5.32,4.2,3.79,4.55,-67.07,-71.47,-64.23,True
1939,Camden County,37029.0,10.43,8.72,12.46,7.66,6.38,9.14,6.52,5.37,7.84,4.92,4.03,5.87,4.57,3.77,5.4,4.49,3.7,5.32,3.72,3.05,4.43,3.45,2.78,4.16,-66.88,-72.4,-61.86,True
1995,Pender County,37141.0,9.57,8.21,11.01,6.96,6.05,7.96,5.81,5.08,6.59,4.55,3.96,5.19,4.32,3.76,4.93,4.22,3.66,4.82,3.69,3.17,4.23,3.23,2.75,3.72,-66.28,-72.1,-61.92,True
1972,Hyde County,37095.0,12.35,10.26,14.91,9.19,7.61,11.03,7.87,6.51,9.46,6.11,5.05,7.34,6.01,4.98,7.22,5.88,4.85,7.07,4.84,3.89,5.86,4.18,3.37,5.11,-66.15,-72.05,-60.79,True
1984,Mecklenburg County,37119.0,11.79,11.05,12.68,8.53,8.03,9.15,7.25,6.82,7.71,5.72,5.41,6.07,5.78,5.41,6.09,5.44,5.07,5.76,4.35,3.98,4.61,4.0,3.67,4.27,-66.09,-70.11,-63.55,True
1961,Gates County,37073.0,13.16,11.11,15.64,9.68,8.21,11.31,8.36,7.08,9.88,6.35,5.41,7.49,6.1,5.2,7.2,5.91,4.99,6.96,4.97,4.18,5.91,4.49,3.76,5.39,-65.85,-70.65,-61.32,True
1993,Pamlico County,37137.0,11.74,9.78,14.07,8.79,7.29,10.5,7.61,6.27,9.05,5.6,4.68,6.66,5.44,4.53,6.46,5.44,4.58,6.51,4.51,3.71,5.42,4.03,3.28,4.88,-65.66,-70.95,-60.14,True
1987,Moore County,37125.0,10.89,9.5,12.38,7.82,6.95,8.85,6.72,5.95,7.62,5.27,4.72,5.91,5.05,4.49,5.62,5.08,4.53,5.68,4.26,3.75,4.79,3.76,3.3,4.22,-65.49,-70.77,-61.86,True
2012,Transylvania County,37175.0,8.61,7.35,10.07,6.43,5.5,7.48,5.46,4.68,6.34,4.27,3.64,4.94,4.06,3.49,4.7,4.05,3.46,4.67,3.41,2.88,3.98,2.99,2.5,3.52,-65.23,-71.25,-60.83,True
1934,Brunswick County,37019.0,9.36,8.27,10.75,6.75,5.98,7.66,5.86,5.23,6.65,4.5,4.0,5.07,4.36,3.86,4.9,4.26,3.74,4.78,3.63,3.15,4.1,3.26,2.83,3.69,-65.17,-70.84,-60.99,True
1935,Buncombe County,37021.0,9.39,8.53,10.42,6.9,6.31,7.62,6.0,5.47,6.59,4.53,4.17,4.95,4.53,4.14,5.0,4.53,4.13,4.96,3.71,3.32,4.06,3.29,2.94,3.6,-64.97,-70.54,-61.51,True
1959,Franklin County,37069.0,12.45,10.89,14.15,8.95,7.85,10.27,7.63,6.71,8.67,5.97,5.29,6.75,5.91,5.21,6.74,5.82,5.1,6.61,4.84,4.18,5.5,4.38,3.76,5.02,-64.85,-69.8,-60.88,True
1945,Chowan County,37041.0,13.63,11.54,15.9,10.09,8.53,11.75,8.74,7.41,10.16,6.81,5.72,7.92,6.8,5.7,7.95,6.53,5.44,7.55,5.33,4.44,6.21,4.82,3.94,5.66,-64.59,-69.76,-59.98,True
2017,Warren County,37185.0,16.42,14.15,18.89,12.41,10.73,14.28,10.44,9.05,11.94,8.14,7.04,9.32,7.88,6.79,9.06,7.86,6.77,9.07,6.59,5.66,7.61,5.83,4.97,6.75,-64.47,-69.29,-60.22,True
1999,Polk County,37149.0,9.83,8.21,11.71,7.24,6.08,8.54,6.2,5.26,7.28,4.76,4.0,5.56,4.76,3.99,5.62,4.64,3.85,5.46,3.97,3.29,4.7,3.52,2.91,4.24,-64.2,-70.0,-58.9,True
1975,Johnston County,37101.0,9.66,8.66,10.8,7.04,6.39,7.86,6.04,5.46,6.72,4.89,4.43,5.4,4.66,4.22,5.15,4.69,4.21,5.16,4.1,3.68,4.53,3.47,3.07,3.84,-64.04,-69.51,-60.13,True
1931,Beaufort County,37013.0,11.85,10.41,13.48,8.87,7.8,10.07,7.66,6.73,8.7,6.11,5.4,6.88,5.87,5.21,6.57,5.74,5.09,6.47,4.91,4.33,5.55,4.32,3.79,4.88,-63.54,-69.21,-59.2,True
1940,Carteret County,37031.0,9.2,8.07,10.54,6.88,6.07,7.86,5.95,5.25,6.75,4.47,3.95,5.03,4.45,3.92,5.02,4.48,3.92,5.06,3.76,3.23,4.3,3.38,2.86,3.85,-63.28,-69.59,-58.94,True
1969,Henderson County,37089.0,8.59,7.59,9.72,6.41,5.66,7.27,5.51,4.87,6.17,4.35,3.86,4.88,4.17,3.69,4.69,4.27,3.75,4.78,3.54,3.11,4.01,3.16,2.75,3.59,-63.23,-69.39,-59.24,True
2014,Union County,37179.0,9.2,8.32,10.27,7.09,6.41,7.87,6.09,5.51,6.74,4.56,4.14,5.04,4.53,4.09,5.01,4.33,3.86,4.75,3.87,3.46,4.28,3.39,3.01,3.73,-63.09,-68.69,-59.43,True
1991,Onslow County,37133.0,11.11,10.16,12.26,8.35,7.67,9.11,7.21,6.67,7.85,5.57,5.12,6.06,5.62,5.18,6.1,5.52,5.07,5.97,4.53,4.08,4.91,4.13,3.69,4.5,-62.83,-68.53,-58.72,True
1955,Duplin County,37061.0,12.17,10.77,13.82,9.46,8.43,10.64,8.16,7.3,9.18,6.5,5.83,7.25,6.2,5.51,6.94,6.09,5.42,6.81,5.1,4.54,5.68,4.55,4.02,5.15,-62.63,-68.24,-58.38,True
1998,Pitt County,37147.0,16.14,14.76,17.63,12.46,11.46,13.64,11.13,10.24,12.06,8.74,8.06,9.42,8.18,7.51,8.85,8.14,7.4,8.83,6.68,6.09,7.23,6.08,5.53,6.61,-62.33,-66.89,-58.95,True
1990,Northampton County,37131.0,17.48,15.16,20.08,13.15,11.46,15.1,11.34,9.89,12.97,8.97,7.82,10.25,8.8,7.65,10.11,8.86,7.67,10.16,7.35,6.37,8.45,6.65,5.77,7.7,-61.94,-66.82,-57.88,True
1937,Cabarrus County,37025.0,8.26,7.34,9.25,6.03,5.41,6.76,5.35,4.83,5.95,4.25,3.81,4.71,4.08,3.66,4.53,4.26,3.79,4.69,3.53,3.12,3.91,3.15,2.75,3.47,-61.89,-68.0,-57.96,True
2019,Watauga County,37189.0,6.94,5.9,8.18,5.18,4.44,6.08,4.56,3.91,5.3,3.58,3.08,4.17,3.46,2.97,4.03,3.55,3.02,4.1,3.01,2.55,3.54,2.67,2.25,3.12,-61.59,-67.8,-56.5,True
1980,Macon County,37113.0,8.52,7.18,10.14,6.33,5.36,7.45,5.44,4.65,6.37,4.32,3.7,5.03,4.25,3.65,4.95,4.28,3.68,4.98,3.77,3.18,4.42,3.28,2.77,3.84,-61.51,-68.27,-56.51,True
2020,Wayne County,37191.0,11.35,10.26,12.66,8.61,7.82,9.56,7.35,6.7,8.08,5.88,5.35,6.47,6.07,5.49,6.64,5.93,5.39,6.52,5.06,4.56,5.58,4.38,3.92,4.83,-61.43,-66.96,-57.31,True
2022,Wilson County,37195.0,13.28,11.8,14.9,10.0,9.02,11.14,8.72,7.86,9.73,7.04,6.39,7.76,6.76,6.12,7.43,6.74,6.09,7.46,5.8,5.16,6.42,5.12,4.54,5.66,-61.43,-66.52,-57.69,True
1974,Jackson County,37099.0,8.77,7.53,10.2,6.55,5.58,7.58,5.79,4.96,6.73,4.58,3.94,5.29,4.47,3.83,5.2,4.52,3.81,5.25,3.9,3.27,4.52,3.39,2.8,3.99,-61.4,-68.18,-56.11,True
1964,Greene County,37079.0,15.18,13.11,17.58,11.56,9.99,13.25,9.96,8.64,11.38,7.99,6.93,9.2,7.69,6.61,8.75,7.62,6.58,8.74,6.45,5.58,7.45,5.86,5.03,6.7,-61.39,-66.63,-56.41,True
1924,North Carolina,37.0,11.39,10.96,12.27,8.64,8.4,9.2,7.52,7.31,7.94,5.98,5.82,6.16,5.9,5.63,6.05,5.81,5.48,5.95,4.94,4.56,5.09,4.43,4.05,4.6,-61.12,-66.29,-58.74,True
1977,Lee County,37105.0,13.11,11.58,14.78,10.09,9.0,11.4,8.7,7.73,9.74,6.84,6.07,7.65,6.59,5.88,7.35,6.65,5.88,7.44,5.79,5.09,6.5,5.11,4.44,5.77,-61.04,-66.68,-56.8,True
1927,Alleghany County,37005.0,7.61,6.31,9.24,5.71,4.74,6.84,4.87,4.02,5.76,3.82,3.16,4.54,3.8,3.1,4.52,3.89,3.19,4.61,3.33,2.67,4.0,2.97,2.33,3.58,-61.0,-68.81,-54.45,True
1968,Haywood County,37087.0,7.98,6.96,9.26,6.12,5.39,7.03,5.24,4.64,5.97,4.09,3.6,4.64,4.07,3.56,4.63,4.14,3.59,4.7,3.43,2.98,3.93,3.13,2.66,3.62,-60.86,-67.68,-55.87,True
1988,Nash County,37127.0,15.01,13.52,16.66,11.27,10.23,12.43,9.71,8.83,10.69,7.46,6.74,8.17,7.48,6.77,8.22,7.66,6.9,8.39,6.64,5.99,7.27,5.89,5.26,6.43,-60.79,-65.84,-57.14,True
