state,perc_funded,fed_cost,num_funded,indv_cost,state_cost,total_cost,year,STATEFP20
Alabama,61.6,250.5,18200,336,72.6,323.2,2010,01
Alaska,64.3,70.8,3000,790,42.9,113.7,2010,02
Arizona,64.6,509.4,24200,531,161.5,670.9,2010,04
Arkansas,72.3,266.8,13800,576,61.9,328.7,2010,05
California,64.3,1062.0,105300,222,689.3,1751.0,2010,06
Colorado,63.8,146.1,15100,231,91.1,237.3,2010,08
Connecticut,60.8,128.4,7900,301,80.1,208.5,2010,09
Delaware,71.3,58.2,3300,526,36.0,94.2,2010,10
District of Columbia,84.6,50.9,3700,393,13.3,64.1,2010,11
Florida,70.6,892.8,71400,371,427.1,1320.0,2010,12
Georgia,80.5,687.7,55500,442,229.7,917.5,2010,13
Hawaii,49.9,76.7,4300,436,37.8,114.5,2010,15
Idaho,60.4,70.2,4700,289,18.5,88.7,2010,16
Illinois,78.3,571.5,55000,351,352.2,923.7,2010,17
Indiana,64.6,284.6,22900,292,91.4,375.9,2010,18
Iowa,61.5,127.6,8500,305,48.3,175.8,2010,19
Kansas,47.2,115.7,7700,299,50.4,166.1,2010,20
Kentucky,66.8,302.8,15200,442,75.0,377.9,2010,21
Louisiana,78.7,530.4,26500,700,120.6,651.0,2010,22
Maine,74.7,43.6,3800,241,14.6,58.2,2010,23
Maryland,58.2,285.4,19000,391,180.9,466.2,2010,24
Massachusetts,56.4,219.6,13100,264,138.3,357.9,2010,25
Michigan,71.9,485.1,36600,346,177.0,662.0,2010,26
Minnesota,66.7,203.9,14700,318,128.7,332.6,2010,27
Mississippi,81.9,226.7,18600,442,40.4,267.1,2010,28
Missouri,72.2,385.9,25000,440,132.6,518.4,2010,29
Montana,47.8,31.7,2100,227,9.1,40.8,2010,30
Nebraska,63.1,91.9,6300,376,41.7,133.6,2010,31
Nevada,60.0,65.8,7900,187,37.1,102.9,2010,32
New Hampshire,52.7,16.5,2200,107,10.3,26.8,2010,33
New Jersey,52.4,291.0,20200,275,186.1,477.1,2010,34
New Mexico,77.1,191.2,10200,599,47.9,239.1,2010,35
New York,70.2,937.7,59000,380,601.1,1539.0,2010,36
North Carolina,74.8,643.5,41400,440,214.7,858.3,2010,37
North Dakota,36.8,17.9,1300,197,7.7,25.5,2010,38
Ohio,68.7,605.8,44800,369,218.8,824.6,2010,39
Oklahoma,80.7,254.0,19600,448,77.0,331.0,2010,40
Oregon,69.9,122.7,11700,225,47.2,169.9,2010,41
Pennsylvania,53.5,478.6,31800,298,248.2,726.8,2010,42
Rhode Island,70.1,48.7,3000,356,27.5,76.2,2010,44
South Carolina,78.6,327.3,18900,443,84.0,411.2,2010,45
South Dakota,46.2,35.0,2400,324,14.4,49.4,2010,46
Tennessee,73.7,400.0,28900,416,130.7,530.7,2010,47
Texas,73.7,2057.0,133200,543,842.6,2899.0,2010,48
Utah,53.3,127.6,9000,262,30.4,158.0,2010,49
Vermont,73.5,21.8,1600,265,9.6,31.4,2010,50
Virginia,45.4,312.0,19800,306,194.6,506.5,2010,51
Washington,63.1,290.7,19900,345,177.1,467.8,2010,53
West Virginia,76.0,120.5,7100,425,24.9,145.4,2010,54
Wisconsin,62.0,221.4,16900,286,92.1,313.5,2010,55
Wyoming,67.4,34.1,1900,519,21.3,55.3,2010,56
