ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a County based table with the following filters applied: State(s) (All Years): NORTH CAROLINA

County Name,County Number [Public School] 2018-19,Total Number of Public Schools [Public School] 2018-19,Total Number of Public Schools [Public School] 2017-18,Total Number of Public Schools [Public School] 2016-17,Total Number of Public Schools [Public School] 2015-16,Total Number of Public Schools [Public School] 2014-15,Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2016-17,American Indian/Alaska Native Students [Public School] 2015-16,American Indian/Alaska Native Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2016-17,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2017-18,Hispanic Students [Public School] 2016-17,Hispanic Students [Public School] 2015-16,Hispanic Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2017-18,Black Students [Public School] 2016-17,Black Students [Public School] 2015-16,Black Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2017-18,White Students [Public School] 2016-17,White Students [Public School] 2015-16,White Students [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2017-18,Hawaiian Nat./Pacific Isl. Students [Public School] 2016-17,Hawaiian Nat./Pacific Isl. Students [Public School] 2015-16,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2017-18,Two or More Races Students [Public School] 2016-17,Two or More Races Students [Public School] 2015-16,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2017-18,Total Race/Ethnicity [Public School] 2016-17,Total Race/Ethnicity [Public School] 2015-16,Total Race/Ethnicity [Public School] 2014-15
Alamance County NC  ,37001,39,39,39,39,39,12929,12853,12954,13169,12358,1073,1053,1364,1221,1530,85,85,95,107,113,377,368,357,335,341,6378,6232,6037,5869,5651,5439,5356,5278,5260,5077,11372,11594,11896,12127,12388,23,28,27,28,31,1196,1129,1079,1041,951,24870,24792,†,24767,24552
Alexander County NC  ,37003,11,11,11,10,10,1932,1997,2201,2345,2207,254,297,398,413,458,5,4,4,4,8,75,76,81,95,102,496,498,480,471,456,188,196,200,209,211,3885,3957,3994,4104,4278,3,4,4,3,4,213,218,212,198,198,4865,4953,†,5084,5257
Alleghany County NC  ,37005,4,4,4,4,4,736,784,807,1217,1219,128,124,120,28,45,4,5,6,6,6,3,5,5,4,3,338,336,316,328,303,8,10,9,11,9,1031,1018,1055,1116,1132,="0",="0",="0",="0",="0",32,32,29,27,24,1416,1406,†,1492,1477
Anson County NC  ,37007,11,10,11,11,11,3144,3294,3265,3400,2449,="0",="0",="0",="0",246,9,8,11,14,12,54,62,52,57,58,179,173,143,136,136,1798,1891,1905,1975,2005,1015,1105,1136,1161,1227,1,2,="0",="0",="0",119,110,99,91,88,3175,3351,†,3434,3526
Ashe County NC  ,37009,6,6,5,5,5,1430,1416,1491,1577,1627,301,335,301,352,350,3,3,1,2,2,18,17,16,17,16,376,347,328,315,301,11,18,16,18,15,2588,2614,2698,2791,2871,="0",="0",="0",="0",="0",53,48,36,32,35,3049,3047,†,3175,3240
Avery County NC  ,37011,14,14,14,13,13,1048,1071,1149,1239,1210,230,276,227,259,263,5,6,7,6,4,20,19,14,14,13,284,278,275,266,246,13,16,20,12,16,1910,1972,1995,2067,2076,3,3,2,2,2,47,45,42,43,44,2282,2339,†,2410,2401
Beaufort County NC  ,37013,15,15,15,15,15,6453,6586,5078,4365,4192,15,16,192,412,525,13,10,10,10,18,25,23,24,26,29,1145,1142,1152,1126,1106,2140,2202,2319,2383,2390,3395,3483,3532,3602,3714,4,3,3,5,6,313,306,288,272,251,7035,7169,†,7424,7514
Bertie County NC  ,37015,8,8,9,10,10,2242,2417,2517,2685,2506,="0",="0",="0",="0",13,6,9,12,11,12,4,10,12,12,4,49,52,54,64,60,1866,1986,2075,2194,2233,297,348,381,398,406,1,="0",="0",1,2,68,56,53,43,26,2291,2461,†,2723,2743
Bladen County NC  ,37017,15,16,15,14,14,4602,4552,4781,4907,4972,="0",="0",1,="0",="0",107,108,94,91,71,8,7,13,15,10,877,877,868,884,853,1837,1843,1882,1904,1949,1932,1913,1826,1873,1943,1,1,="0",="0",="0",255,231,217,209,204,5017,4980,†,4976,5030
Brunswick County NC  ,37019,21,21,21,21,21,8058,6697,6906,6704,10253,342,822,1086,1215,459,87,97,111,121,122,94,98,94,95,97,1830,1753,1677,1623,1511,1904,2001,2002,1974,2040,9172,9244,9206,9225,9223,18,21,20,14,16,770,695,629,592,539,13875,13909,†,13644,13548
