Alamance County, 37001 FIPS Code, North Carolina
Alexander County, 37003 FIPS Code, North Carolina
Alleghany County, 37005 FIPS Code, North Carolina
Anson County, 37007 FIPS Code, North Carolina
Ashe County, 37009 FIPS Code, North Carolina
Avery County, 37011 FIPS Code, North Carolina
Beaufort County, 37013 FIPS Code, North Carolina
Bertie County, 37015 FIPS Code, North Carolina
Bladen County, 37017 FIPS Code, North Carolina
Brunswick County, 37019 FIPS Code, North Carolina
Buncombe County, 37021 FIPS Code, North Carolina
Burke County, 37023 FIPS Code, North Carolina
Cabarrus County, 37025 FIPS Code, North Carolina
Caldwell County, 37027 FIPS Code, North Carolina
Camden County, 37029 FIPS Code, North Carolina
Carteret County, 37031 FIPS Code, North Carolina
Caswell County, 37033 FIPS Code, North Carolina
Catawba County, 37035 FIPS Code, North Carolina
Chatham County, 37037 FIPS Code, North Carolina
Cherokee County, 37039 FIPS Code, North Carolina
Chowan County, 37041 FIPS Code, North Carolina
Clay County, 37043 FIPS Code, North Carolina
Cleveland County, 37045 FIPS Code, North Carolina
Columbus County, 37047 FIPS Code, North Carolina
Craven County, 37049 FIPS Code, North Carolina
Cumberland County, 37051 FIPS Code, North Carolina
Currituck County, 37053 FIPS Code, North Carolina
Dare County, 37055 FIPS Code, North Carolina
Davidson County, 37057 FIPS Code, North Carolina
Davie County, 37059 FIPS Code, North Carolina
Duplin County, 37061 FIPS Code, North Carolina
Durham County, 37063 FIPS Code, North Carolina
Edgecombe County, 37065 FIPS Code, North Carolina
Forsyth County, 37067 FIPS Code, North Carolina
Franklin County, 37069 FIPS Code, North Carolina
Gaston County, 37071 FIPS Code, North Carolina
Gates County, 37073 FIPS Code, North Carolina
Graham County, 37075 FIPS Code, North Carolina
Granville County, 37077 FIPS Code, North Carolina
Greene County, 37079 FIPS Code, North Carolina
Guilford County, 37081 FIPS Code, North Carolina
Halifax County, 37083 FIPS Code, North Carolina
Harnett County, 37085 FIPS Code, North Carolina
Haywood County, 37087 FIPS Code, North Carolina
Henderson County, 37089 FIPS Code, North Carolina
Hertford County, 37091 FIPS Code, North Carolina
Hoke County, 37093 FIPS Code, North Carolina
Hyde County, 37095 FIPS Code, North Carolina
Iredell County, 37097 FIPS Code, North Carolina
Jackson County, 37099 FIPS Code, North Carolina
Johnston County, 37101 FIPS Code, North Carolina
Jones County, 37103 FIPS Code, North Carolina
Lee County, 37105 FIPS Code, North Carolina
Lenoir County, 37107 FIPS Code, North Carolina
Lincoln County, 37109 FIPS Code, North Carolina
Macon County, 37113 FIPS Code, North Carolina
Madison County, 37115 FIPS Code, North Carolina
Martin County, 37117 FIPS Code, North Carolina
McDowell County, 37111 FIPS Code, North Carolina
Mecklenburg County, 37119 FIPS Code, North Carolina
Mitchell County, 37121 FIPS Code, North Carolina
Montgomery County, 37123 FIPS Code, North Carolina
Moore County, 37125 FIPS Code, North Carolina
Nash County, 37127 FIPS Code, North Carolina
New Hanover County, 37129 FIPS Code, North Carolina
Northampton County, 37131 FIPS Code, North Carolina
Onslow County, 37133 FIPS Code, North Carolina
Orange County, 37135 FIPS Code, North Carolina
Pamlico County, 37137 FIPS Code, North Carolina
Pasquotank County, 37139 FIPS Code, North Carolina
Pender County, 37141 FIPS Code, North Carolina
Perquimans County, 37143 FIPS Code, North Carolina
Person County, 37145 FIPS Code, North Carolina
Pitt County, 37147 FIPS Code, North Carolina
Polk County, 37149 FIPS Code, North Carolina
Randolph County, 37151 FIPS Code, North Carolina
Richmond County, 37153 FIPS Code, North Carolina
Robeson County, 37155 FIPS Code, North Carolina
Rockingham County, 37157 FIPS Code, North Carolina
Rowan County, 37159 FIPS Code, North Carolina
Rutherford County, 37161 FIPS Code, North Carolina
Sampson County, 37163 FIPS Code, North Carolina
Scotland County, 37165 FIPS Code, North Carolina
Stanly County, 37167 FIPS Code, North Carolina
Stokes County, 37169 FIPS Code, North Carolina
Surry County, 37171 FIPS Code, North Carolina
Swain County, 37173 FIPS Code, North Carolina
Transylvania County, 37175 FIPS Code, North Carolina
Tyrrell County, 37177 FIPS Code, North Carolina
Union County, 37179 FIPS Code, North Carolina
Vance County, 37181 FIPS Code, North Carolina
Wake County, 37183 FIPS Code, North Carolina
Warren County, 37185 FIPS Code, North Carolina
Washington County, 37187 FIPS Code, North Carolina
Watauga County, 37189 FIPS Code, North Carolina
Wayne County, 37191 FIPS Code, North Carolina
Wilkes County, 37193 FIPS Code, North Carolina
Wilson County, 37195 FIPS Code, North Carolina
Yadkin County, 37197 FIPS Code, North Carolina
Yancey County, 37199 FIPS Code, North Carolina
