RESIDENCE: ,Total Abortions,Rate,White Non-Hispanic,Rate,Af. An. Non-Hispanic,Rate,Am. Ind. Non-Hispanic,Rate,Other Non-Hispanic,Rate,Hispanic,Rate
NORTH CAROLINA ,"23,495",11.4,"7,261",6,"10,703",21.1,249,9.5,818,9.2,"3,071",13.3
PCR I WESTERN ,888,6.4,631,5.5,108,15.3,6,* ,19,* ,75,6.7
PCR II NORTHWESTERN ,"4,476",10,"1,571",5.5,"1,982",20.7,25,13.4,136,8.1,512,10.8
PCR III SOUTHWESTERN ,"5,894",13.6,"1,386",6,"2,899",23.7,33,21,279,11,954,17.7
PCR IV NORTHEASTERN ,"5,566",11.3,"1,567",5.7,"2,605",21.3,34,15.6,258,7.7,814,13.5
PCR V SOUTHEASTERN ,"3,303",11.9,"1,073",7.1,"1,396",19.1,121,7.3,65,10.6,392,12.6
PCR VI EASTERN ,"2,966",11.3,898,6.3,"1,550",18,27,17,43,8,297,11.1
ALAMANCE ,364,10.7,118,5.8,154,20.6,3,* ,7,* ,65,12.5
ALEXANDER ,43,7.2,27,5.2,8,* ,0,* ,1,* ,4,* 
ALLEGHANY ,10,* ,10,* ,0,* ,0,* ,0,* ,0,* 
ANSON ,47,11.6,9,* ,32,14.9,0,* ,0,* ,2,* 
ASHE ,19,* ,15,* ,0,* ,0,* ,0,* ,4,* 
AVERY ,10,* ,7,* ,0,* ,0,* ,1,* ,0,* 
BEAUFORT ,60,7.8,24,5.2,24,11.1,0,* ,0,* ,7,* 
BERTIE ,32,11.5,1,* ,29,16.4,1,* ,0,* ,0,* 
BLADEN ,47,8.6,10,* ,27,13.8,1,* ,0,* ,5,* 
BRUNSWICK ,118,6.2,69,4.8,30,11.4,1,* ,1,* ,10,* 
BUNCOMBE ,465,9.2,338,8.1,64,18,2,* ,6,* ,29,7.1
BURKE ,88,6,62,5.3,6,* ,0,* ,3,* ,13,* 
CABARRUS ,474,10.9,148,5.8,165,17.3,3,* ,35,12.9,98,18
CALDWELL ,60,4.4,42,3.6,4,* ,0,* ,3,* ,5,* 
CAMDEN ,12,* ,5,* ,6,* ,0,* ,0,* ,0,* 
CARTERET ,62,6,47,5.4,4,* ,1,* ,0,* ,6,* 
CASWELL ,26,7.8,10,* ,14,* ,0,* ,0,* ,2,* 
CATAWBA ,223,7.8,118,5.8,42,14.9,3,* ,12,* ,35,10.1
CHATHAM ,69,6.1,30,4,18,* ,0,* ,0,* ,15,* 
CHEROKEE ,11,* ,10,* ,0,* ,0,* ,0,* ,1,* 
CHOWAN ,9,* ,0,* ,6,* ,1,* ,0,* ,1,* 
CLAY ,6,* ,4,* ,0,* ,0,* ,1,* ,0,* 
CLEVELAND ,155,8.8,60,4.8,74,17.4,0,* ,4,* ,9,* 
COLUMBUS ,72,7.7,21,3.9,39,13.7,4,* ,0,* ,2,* 
CRAVEN ,190,10.6,82,7.3,69,16.4,0,* ,5,* ,23,13.2
CUMBERLAND ,"1,407",19.5,313,10.9,709,23.8,21,16.2,34,12.7,192,19.4
CURRITUCK ,37,7.6,30,7.1,5,* ,0,* ,0,* ,1,* 
DARE ,56,9.7,43,8.9,1,* ,0,* ,2,* ,6,* 
